train_val_accuracy_list,training_accuracy_list,validation_accuracy_list,accuracy_list
0.017623066902160645,0.9967897534370422,0.9791666865348816,0.9735576923076924
0.012820541858673096,1.0,0.9871794581413269,0.9795673076923076
0.020825624465942383,0.995184600353241,0.9743589758872986,0.9771634615384616
-0.14946800470352173,0.7319422364234924,0.8814102411270142,0.9831730769230768
0.009610295295715332,0.9967897534370422,0.9871794581413269,0.9471153846153846
0.004787087440490723,0.9871588945388794,0.9823718070983887,0.9891826923076924
0.015979349613189697,0.971107542514801,0.9551281929016113,0.9831730769230768
0.017615318298339844,0.9919742941856384,0.9743589758872986,0.9579326923076924
0.006366550922393799,0.9727126955986023,0.9663461446762085,0.9831730769230768
0.007976830005645752,0.9775280952453613,0.9695512652397156,0.9735576923076924
-7.68899917602539e-06,0.995184600353241,0.995192289352417,0.9891826923076924
0.007992208003997803,0.9871588945388794,0.9791666865348816,0.9771634615384616
0.02075362205505371,0.9502407908439636,0.9294871687889099,0.9302884615384616
0.012812793254852295,0.995184600353241,0.9823718070983887,0.9675480769230768
-0.0032719969749450684,0.9582664370536804,0.9615384340286255,0.9903846153846154
0.04002290964126587,0.9743177890777588,0.9342948794364929,0.9831730769230768
-0.0514981746673584,0.8651685118675232,0.9166666865348816,0.9471153846153846
0.014381885528564453,0.9743177890777588,0.9599359035491943,0.9807692307692308
0.022430777549743652,0.9967897534370422,0.9743589758872986,0.986778846153846
0.009592235088348389,0.9855538010597229,0.9759615659713745,0.9783653846153846
0.004779398441314697,0.9823434948921204,0.9775640964508057,0.9699519230769232
-0.1334552764892578,0.7239165306091309,0.8573718070983887,0.9170673076923076
0.00959998369216919,0.9903692007064819,0.9807692170143127,0.9050480769230768
-0.05308014154434204,0.8780096173286438,0.9310897588729858,0.9855769230769232
0.006399989128112793,0.9935794472694397,0.9871794581413269,0.9903846153846154
0.017617881298065186,0.9935794472694397,0.9759615659713745,0.9675480769230768
0.014420509338378906,0.9983948469161987,0.9839743375778198,0.9723557692307692
0.01280510425567627,0.9903692007064819,0.9775640964508057,0.984375
-0.04018503427505493,0.9245585799217224,0.9647436141967773,0.9831730769230768
0.03026866912841797,0.8876404762268066,0.8573718070983887,0.966346153846154
0.17303061485290527,0.971107542514801,0.7980769276618958,0.9855769230769232
0.06085371971130371,0.9727126955986023,0.9118589758872986,0.9831730769230768
0.009589672088623047,0.9839486479759216,0.9743589758872986,0.9783653846153846
0.020810186862945557,0.9855538010597229,0.9647436141967773,0.981971153846154
-0.06108522415161133,0.8828250169754028,0.9439102411270142,0.8894230769230769
